,User_ID,User_Name,Edit_Count,Registration_Date,Groups,Gender,Blocked_By,Block_Reason
0,30601,Nach0king,3162,2003-11-16T00:07:47Z,"extendedconfirmed,*,user,autoconfirmed",male,0,
1,21804,Pakaran,9746,2003-09-07T19:04:33Z,"abusefilter,bureaucrat,sysop,*,user,autoconfirmed",male,0,
2,207123,Swirsky,57,2005-03-08T15:55:39Z,"*,user,autoconfirmed",unknown,0,
3,5984278,Ra2007,854,2007-12-10T19:17:03Z,"*,user,autoconfirmed",unknown,21013,Sockpuppet
4,0,Ip:62.148.218.69,0,0,,,0,
5,750782,Afghan Historian,646,2006-01-03T23:58:58Z,"*,user,autoconfirmed",unknown,0,
6,0,Ip:24.162.140.213,0,0,,,0,
7,332692,Truthdowser,442,2005-07-14T04:36:33Z,"*,user,autoconfirmed",unknown,0,
8,60806,DNewhall,4250,2004-04-17T19:14:48Z,"extendedconfirmed,*,user,autoconfirmed",male,0,
9,156647,Natarajanganesan,265,2004-12-24T00:26:45Z,"*,user,autoconfirmed",unknown,0,
10,58193,OverlordQ,22509,2004-04-07T01:33:13Z,"sysop,*,user,autoconfirmed",unknown,0,
11,24914918,Dmp,0,2015-04-23T20:20:09Z,"*,user",unknown,0,
12,1942810,Cranberryjuice,5,2006-08-06T01:02:27Z,"*,user",unknown,0,
13,0,Ip:131.155.99.85,0,0,,,0,
14,1147972,Baskaufs,300,2006-03-26T12:48:54Z,"*,user,autoconfirmed",male,0,
15,0,Ip:195.92.67.68,0,0,,,0,
16,0,Ip:66.69.219.9,0,0,,,0,
17,835140,IdeArchos,252,2006-01-25T01:16:27Z,"*,user,autoconfirmed",unknown,0,
18,0,Ip:70.171.223.41,0,0,,,0,
19,0,Ip:84.163.87.66,0,0,,,0,
20,0,Ip:169.244.70.148,0,0,,,0,
21,3902948,Omerks,137,2007-03-21T17:32:28Z,"*,user,autoconfirmed",unknown,0,
22,0,Ip:88.109.94.66,0,0,,,0,
23,68509,Urhixidur,42055,2004-05-19T16:30:24Z,"sysop,*,user,autoconfirmed",male,0,
24,0,Ip:202.6.138.34,0,0,,,0,
25,0,Ip:85.167.143.251,0,0,,,0,
26,94,AstroNomer,1547,2001-02-07T22:22:48Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
27,64897,GeoGreg,3932,2004-05-02T21:55:37Z,"extendedconfirmed,*,user,autoconfirmed",male,0,
28,0,Ip:68.203.145.20,0,0,,,0,
29,0,Ip:67.169.56.97,0,0,,,0,
30,0,Ip:128.231.88.4,0,0,,,0,
31,110791,Kickstart70,2332,2004-09-27T21:21:54Z,"*,user,autoconfirmed",unknown,0,
32,0,Psychomelodic,0,0,,,0,
33,652683,Georgeccampbell,1532,2005-12-08T01:08:40Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
34,284140,Garglebutt,2917,2005-06-01T02:04:55Z,"*,user,autoconfirmed",unknown,0,
35,86545,Guanabot2,944,2004-07-16T01:05:30Z,"*,user,autoconfirmed",unknown,0,
36,0,Ip:76.28.132.231,0,0,,,0,
37,530907,Ionn-Korr,483,2005-10-26T18:05:54Z,"*,user,autoconfirmed",unknown,0,
38,145185,Skyring,18764,2004-12-02T18:01:52Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
39,56331,ConradPino,7088,2004-03-31T10:33:05Z,"extendedconfirmed,*,user,autoconfirmed",male,0,
40,104114,George.dickeson,71,2004-09-12T16:29:42Z,"*,user,autoconfirmed",unknown,0,
41,179728,SCEhardt,15577,2005-01-29T21:56:50Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
42,273771,Jcam,1153,2005-05-20T23:56:36Z,"*,user,autoconfirmed",unknown,0,
43,0,Ip:210.49.196.232,0,0,,,0,
44,524644,Izehar,6567,2005-10-24T17:28:47Z,"*,user,autoconfirmed",unknown,0,
45,123137,Borisblue,4303,2005-01-21T14:26:20Z,"*,user,autoconfirmed",unknown,0,
46,1553600,Eliecer,14,2006-06-03T14:03:57Z,"*,user,autoconfirmed",unknown,767514,Abusive [[WP:SOCK|sockpuppet]] of [[User:Guillen]]
47,0,Ip:91.109.90.148,0,0,,,0,
48,0,Ip:216.8.14.120,0,0,,,0,
49,0,Ip:24.22.57.207,0,0,,,0,
50,2118749,WLU,52238,2006-08-30T18:44:56Z,"autoreviewer,extendedconfirmed,reviewer,rollbacker,*,user,autoconfirmed",male,0,
51,0,Ip:172.191.33.196,0,0,,,0,
52,58453,Mako098765,2201,2004-09-03T22:13:41Z,"*,user,autoconfirmed",unknown,0,
53,0,Ip:62.101.126.212,0,0,,,0,
54,0,Ip:62.203.250.195,0,0,,,0,
55,0,Ip:219.89.174.103,0,0,,,0,
56,529595,Kurykh,40902,2005-10-27T01:25:28Z,"sysop,*,user,autoconfirmed",male,0,
57,0,Ip:220.239.194.203,0,0,,,0,
58,191556,Paxsimius,8121,2005-02-14T02:55:14Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
59,416830,One,9364,2005-09-04T07:24:02Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
60,161504,BernardM,829,2005-01-01T22:38:01Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
61,10722,Lee M,13522,2003-01-02T19:28:46Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
62,0,Ip:70.54.53.43,0,0,,,0,
63,0,Ip:69.208.244.188,0,0,,,0,
64,387691,Ak-dave,2,2005-08-16T20:53:09Z,"*,user",unknown,0,
65,790875,Spikeman,32,2006-01-14T22:59:25Z,"*,user,autoconfirmed",unknown,0,
66,0,FelixP,0,0,,,0,
67,0,Ip:4.68.248.130,0,0,,,0,
68,467313,Petercorless,7613,2005-09-30T18:41:26Z,"autoreviewer,extendedconfirmed,*,user,autoconfirmed",unknown,0,
69,0,Ip:212.95.111.212,0,0,,,0,
70,0,Ip:203.109.254.51,0,0,,,0,
71,2314926,Mateo2006,1385,2006-09-24T15:28:45Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
72,0,Ip:190.58.4.66,0,0,,,0,
73,1814686,Bookinvestor,139,2006-07-18T05:12:33Z,"*,user,autoconfirmed",unknown,0,
74,38044,Hwarwick,151,2004-06-10T16:35:33Z,"*,user,autoconfirmed",unknown,0,
75,0,Ip:68.116.186.63,0,0,,,0,
76,337066,Lockesdonkey,12467,2005-07-17T04:49:16Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
77,0,Ip:152.80.48.103,0,0,,,0,
78,0,Ip:70.179.150.235,0,0,,,0,
79,0,Ip:69.19.14.43,0,0,,,0,
80,71699,Karl Dickman,20117,2004-05-27T16:42:44Z,"sysop,*,user,autoconfirmed",male,0,
81,0,Ip:12.107.165.254,0,0,,,0,
82,2549921,Being blunt,920,2006-10-22T23:32:47Z,"*,user,autoconfirmed",unknown,0,
83,7862,Ronz,114491,2005-05-31T20:36:36Z,"extendedconfirmed,reviewer,rollbacker,*,user,autoconfirmed",unknown,0,
84,82928,Guanabot,32249,2004-07-08T23:27:26Z,"bot,extendedconfirmed,*,user,autoconfirmed",unknown,0,
85,5493604,Rmg12,21,2007-10-04T19:56:11Z,"*,user,autoconfirmed",unknown,0,
86,0,Ip:217.43.236.26,0,0,,,0,
87,2346479,Fyoung,3,2006-09-28T03:59:02Z,"*,user",unknown,0,
88,0,Ip:67.150.221.17,0,0,,,0,
89,2838472,EarthRise33,335,2006-11-24T02:17:54Z,"*,user,autoconfirmed",unknown,0,
90,2135234,Oicumayberight,6438,2006-09-01T21:08:05Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
91,4623708,Vanais,216,2007-06-12T17:32:53Z,"*,user,autoconfirmed",male,0,
92,802755,MrHorus,8,2006-01-17T19:39:32Z,"*,user",unknown,0,
93,0,Ip:83.113.22.180,0,0,,,0,
94,260598,Michaelritchie200,1565,2005-05-07T17:19:58Z,"*,user,autoconfirmed",unknown,0,
95,0,Ip:62.193.103.254,0,0,,,0,
96,7918,Stevenj,14745,2003-02-01T21:37:57Z,"sysop,*,user,autoconfirmed",male,0,
97,4034606,British210,57,2007-04-04T21:29:32Z,"*,user,autoconfirmed",unknown,0,
98,4739,Zocky,10085,2002-10-15T01:44:16Z,"sysop,*,user,autoconfirmed",male,0,
99,1722217,Hisands,2,2006-07-02T20:45:09Z,"*,user",male,0,
100,74564,Adamsmith1776,40,2004-06-08T14:12:23Z,"*,user,autoconfirmed",unknown,0,
101,1420681,Mbell,2237,2006-05-11T18:34:06Z,"*,user,autoconfirmed",unknown,0,
102,0,Ip:203.26.145.4,0,0,,,0,
103,435830,Tomyumgoong,941,2005-09-15T06:55:04Z,"*,user,autoconfirmed",unknown,0,
104,0,Ip:76.188.179.141,0,0,,,0,
105,0,Badanedwa,0,0,,,0,
106,0,Ip:66.75.82.7,0,0,,,0,
107,0,Ip:80.131.245.100,0,0,,,0,
108,0,Ip:81.76.108.90,0,0,,,0,
109,691684,Jlk3,70,2005-12-16T05:12:27Z,"*,user,autoconfirmed",unknown,0,
110,1763779,Arch dude,23335,2006-07-10T01:44:28Z,"autoreviewer,extendedconfirmed,reviewer,*,user,autoconfirmed",male,0,
111,1771181,Mohammad ihs,450,2006-07-11T05:16:58Z,"*,user,autoconfirmed",unknown,0,
112,45336,Wikibob,2524,2004-02-18T22:16:49Z,"*,user,autoconfirmed",unknown,0,
113,363486,Emijrp,38028,2005-08-02T20:24:28Z,"autoreviewer,extendedconfirmed,reviewer,rollbacker,*,user,autoconfirmed",male,0,
114,110676,Komunysta,194,2005-08-23T16:53:51Z,"*,user,autoconfirmed",unknown,0,
115,0,Ip:66.238.96.95,0,0,,,0,
116,0,Ip:68.191.218.162,0,0,,,0,
117,0,Ip:209.43.10.192,0,0,,,0,
118,0,Ip:91.155.82.196,0,0,,,0,
119,338257,Rainbowwarrior1977,198,2005-07-18T02:43:21Z,"*,user,autoconfirmed",unknown,243237,"Trolltastic. Let the arbcom make his ban official, but allow me now to get rid of him for his attacks, bad faith, and all around dicketry. "
120,745384,TullFan2000,185,2006-01-02T12:32:26Z,"*,user,autoconfirmed",unknown,0,
121,1906887,Yandman,5709,2006-08-01T07:52:17Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
122,0,Ip:72.73.102.39,0,0,,,0,
123,130326,RoySmith,31535,2004-11-07T02:05:19Z,"sysop,*,user,autoconfirmed",unknown,0,
124,0,Ip:66.194.98.166,0,0,,,0,
125,0,Ip:69.205.0.91,0,0,,,0,
126,0,Ip:85.250.59.248,0,0,,,0,
127,243171,Pixel23,528,2005-04-20T00:52:33Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
128,114127,Lysdexia,1720,2004-10-06T05:09:57Z,"*,user,autoconfirmed",unknown,61329,User's only edits consist of trolling and disruption over several months
129,0,Ip:69.194.240.220,0,0,,,0,
130,0,Ip:70.38.5.59,0,0,,,0,
131,0,Ip:67.142.130.36,0,0,,,0,
132,134756,DreamGuy,33601,2004-11-14T03:44:16Z,"*,user,autoconfirmed",male,0,
133,3902576,Raisethere,21,2007-03-21T16:49:39Z,"*,user,autoconfirmed",unknown,0,
134,2898842,Twobytwo,4,2006-11-30T19:12:04Z,"*,user",unknown,0,
135,294809,Alex Bakharev,47419,2005-06-11T22:12:46Z,"sysop,*,user,autoconfirmed",male,0,
136,2068091,PeterMottola,143,2006-08-23T23:16:51Z,"*,user,autoconfirmed",unknown,0,
137,939135,Paul Koning,1658,2006-02-15T19:22:22Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
138,3095912,Raggz,5704,2006-12-24T06:27:20Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
139,0,Ip:68.130.206.105,0,0,,,0,
140,0,Ip:68.196.43.238,0,0,,,0,
141,2998018,Thucydides100,4,2006-12-11T17:23:27Z,"*,user",unknown,0,
142,991754,Watchayakan,21,2006-02-25T23:13:25Z,"*,user,autoconfirmed",unknown,0,
143,157596,Hct,233,2004-12-26T06:52:07Z,"*,user,autoconfirmed",unknown,0,
144,0,Ip:131.211.23.78,0,0,,,0,
145,3205,Hirzel,1146,2002-08-01T04:09:02Z,"*,user,autoconfirmed",unknown,0,
146,4325387,Kant4u,13,2007-05-06T11:29:37Z,"*,user,autoconfirmed",unknown,0,
147,0,Ip:70.187.66.50,0,0,,,0,
148,179891,Jazzmann,2,2005-01-30T03:54:25Z,"*,user",unknown,0,
149,679793,Vaguely,130,2006-01-25T18:30:19Z,"*,user,autoconfirmed",unknown,0,
150,8318,FightingCock,20,2003-02-13T00:54:17Z,"*,user,autoconfirmed",unknown,0,
151,0,Ip:209.158.211.28,0,0,,,0,
152,733710,Ollj,1065,2005-12-29T08:54:17Z,"extendedconfirmed,*,user,autoconfirmed",unknown,0,
153,3688483,PhaedrusTheStudent,6,2007-02-27T15:24:31Z,"*,user",unknown,0,
154,1535690,F.O.E.,78,2006-05-31T12:27:35Z,"*,user,autoconfirmed",unknown,0,
155,0,Ip:129.170.217.183,0,0,,,0,
156,14922481,White Cat,4,2011-07-11T02:27:55Z,"*,user",unknown,0,
157,0,Ip:66.129.224.36,0,0,,,0,
158,0,Ip:68.193.9.77,0,0,,,0,
159,600526,AK7,123,2005-11-22T04:02:58Z,"*,user,autoconfirmed",unknown,0,
160,3691,Soulpatch,1639,2002-08-28T10:12:08Z,"*,user,autoconfirmed",unknown,0,
161,0,Ip:209.222.54.37,0,0,,,0,
162,1902415,Marycontrary,204,2006-07-31T18:01:36Z,"*,user,autoconfirmed",unknown,0,
163,5083045,Flori121,1,2007-08-13T20:20:19Z,"*,user",unknown,0,
164,244601,Orborde,422,2005-04-21T06:26:37Z,"*,user,autoconfirmed",unknown,0,
165,0,Ip:81.187.43.179,0,0,,,0,
